id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
187,17,"BLACK","Female","12TH GRADE",3.1,"No",506,110,7,"Very Good",0,0,2,52,"pub","No","1"
188,15,"BLACK","Male","12TH GRADE",0,"No",602,150,7,"Very Good",0,0,8,1,"manuf","No","0"
189,16,"BLACK","Female","3RD YR COL",5.9,"No",500,190,7,"Good",0,0,9,71,"pro","No","1"
190,19,"ENGLISH","Male","12TH GRADE",4.6,"Yes",600,215,4,"Good",0,0,1,90,"manuf","No","1"
191,16,"FRENCH","Male","12TH GRADE",4.4,"No",600,190,4,"Very Good",0,0,3,80,"manuf","No","1"
192,17,"BLACK","Male","11TH GRADE",0.045,"No",511,175,7,"Fair",0,0,7,5,"busi","No","0"
193,15,"BLACK","Male","12TH GRADE",0.5,"No",603,175,3,"Excellent",2,0,7,12,"retail","No","0"
194,17,"GERMAN","Female","4TH YR COL",5.6,"No",505,130,5,"Very Good",0,0,6,99,"manuf","No","1"
195,17,"ENGLISH","Female","12TH GRADE",1.7,"No",411,110,4,"Very Good",0,1,9,24,"retail","No","0"
196,21,"GERMAN","Female","12TH GRADE",0,"No",506,130,2,"Very Good",0,0,1,29,"retail","No","0"
197,22,"ENGLISH","Male","7TH GRADE",0,"No",602,195,1,"Fair",0,0,9,6,"pro","No","0"
198,19,"ENGLISH","Female","1ST YR COL",0.5,"No",500,110,5,"Very Good",0,0,3,22,"retail","No","0"
199,15,"ENGLISH","Male","1ST YR COL",0.5,"No",505,130,5,"Very Good",0,0,2,33,"manuf","No","0"
200,16,"GERMAN","Female","4TH YR COL",3.2,"No",505,122,4,"Excellent",0,0,9,40,"pub","No","1"
201,18,"ENGLISH","Male","12TH GRADE",6.1,"No",601,220,4,"Very Good",1,0,5,79,"manuf","No","1"
202,21,"ENGLISH","Male","4TH YR COL",7.3,"No",511,165,1,"Excellent",0,0,16,92,"pro","No","1"
203,18,"GERMAN","Male","12TH GRADE",1.1663,"No",511,195,1,"Fair",3,0,3,64,"manuf","No","0"
204,16,"ENGLISH","Male","12TH GRADE",1.15,"Yes",511,182,5,"Good",1,0,15,17,"construction","Yes","0"
205,17,"ENGLISH","Male","10TH GRADE",2.5,"No",510,175,6,"Very Good",3,0,16,12,"construction","No","1"
206,18,"ITALIAN","Male","12TH GRADE",2.1,"No",600,170,4,"Very Good",0,0,8,56,"busi","No","1"
207,14,"ITALIAN","Female","1ST YR COL",1.7,"No",504,132,4,"Very Good",0,0,5,45,"enter","No","0"
208,20,"OTHER","Male","7TH YR COL",4.2,"No",507,165,5,"Very Good",0,0,16,99,"pro","No","1"
209,21,"ENGLISH","Male","12TH GRADE",4.4,"No",511,175,4,"Excellent",0,0,1,89,"manuf","No","1"
210,21,"ENGLISH","Female","12TH GRADE",0,"No",504,182,4,"Good",1,0,5,44,"retail","No","0"
211,21,"ENGLISH","Male","12TH GRADE",6.5,"No",602,200,2,"Very Good",0,0,2,36,"manuf","No","1"
212,18,"ENGLISH","Male","12TH GRADE",1.2,"No",600,198,5,"Very Good",0,0,8,4,"retail","No","0"
213,15,"ENGLISH","Male","12TH GRADE",0,"No",511,175,4,"Very Good",0,0,5,49,"retail","No","0"
214,16,"GERMAN","Female","12TH GRADE",0,"No",500,125,3,"Excellent",0,0,2,58,"retail","No","0"
215,21,"GERMAN","Female","12TH GRADE",1.1,"No",504,151,2,"Very Good",0,0,1,64,"retail","No","0"
216,16,"GERMAN","Female","1ST YR COL",2.08,"No",411,120,4,"Very Good",3,0,7,80,"manuf","No","1"
217,17,"GERMAN","Female","4TH YR COL",4.1,"No",505,125,4,"Very Good",0,0,7,78,"pro","No","1"
218,21,"ENGLISH","Female","12TH GRADE",0.6,"No",504,134,4,"Very Good",0,0,8,56,"pro","No","0"
219,17,"ENGLISH","Male","2ND YR COL",1.76,"No",511,145,4,"Excellent",0,0,4,96,"busi","No","1"
220,17,"SCOTTISH","Female","4TH YR COL",0.37,"No",507,167,4,"Excellent",0,0,20,72,"busi","No","0"
221,14,"ENGLISH","Male","4TH YR COL",3.5,"No",600,185,4,"Excellent",0,0,12,77,"agri","No","1"
222,18,"ENGLISH","Female","12TH GRADE",1.86,"No",502,125,5,"Excellent",0,0,3,50,"pro","No","1"
223,14,"ENGLISH","Female","4TH YR COL",0.5053,"No",504,135,2,"Good",0,0,7,46,"pro","No","0"
224,19,"ENGLISH","Female","8TH YR COL OR MORE",1.5,"No",504,118,3,"Excellent",0,0,10,98,"pro","No","0"
225,20,"GERMAN","Male","4TH YR COL",3.3,"No",508,175,5,"Excellent",0,0,6,64,"enter","No","1"
226,19,"GERMAN","Male","4TH YR COL",3.9,"No",509,175,5,"Excellent",0,0,6,80,"retail","No","1"
227,17,"GERMAN","Female","5TH YR COL",3.32,"No",507,160,3,"Very Good",1,0,9,82,"pro","No","1"
228,15,"GERMAN","Female","4TH YR COL",0,"No",504,125,3,"Excellent",0,0,4,87,"manuf","Yes","0"
229,17,"POLISH","Female","12TH GRADE",2.7,"No",505,138,3,"Good",0,0,4,35,"fin","No","1"
230,17,"ENGLISH","Male","4TH YR COL",4.5,"No",507,137,3,"Very Good",0,0,5,89,"manuf","No","1"
231,19,"ENGLISH","Female","4TH YR COL",3.5,"No",509,150,3,"Excellent",0,0,5,96,"fin","No","1"
232,19,"GERMAN","Male","2ND YR COL",6.4,"No",510,180,3,"Very Good",1,0,4,81,"wholesale","No","1"
